Discharge Temp(F),Water Temp(F),Water Flow Rate(gpm),Intake Air Temp(F),Air Flow(cfm)
65.8,120.8,0.6,46.7,854.7
65.6,120.3,0.6,47.1,847.4
65.1,120.6,0.6,45.9,846.7
64.9,121.5,0.6,44.9,856.3
64.8,122.1,0.6,44.8,850.8
64.7,122.1,0.6,45.1,850.2
64.6,121.5,0.6,44.8,859
64.8,120.7,0.6,44.7,863
64.9,120.4,0.6,44.8,854.5
64.9,121,0.6,44.8,852.2
64.8,121.8,0.6,44.7,860.4
64.7,122.1,0.6,44.8,854.9
64.6,121.8,0.6,44.7,856.7
64.7,120.9,0.6,44.6,857.1
64.8,120.3,0.6,44.8,855.8
64.8,120.5,0.6,44.6,852.9
64.9,121.1,0.6,44.7,852.7
64.8,122,0.6,45.2,851.4
64.4,122.2,0.6,45.3,857
63.8,121.8,0.6,44.1,857.9
64,120.9,0.6,43.2,862.2
64.3,120.5,0.6,43.3,861.7
64.5,120.8,0.6,43.6,851.6
64.7,121.7,0.6,44,851.4
64.9,122.2,0.6,44.4,859.7
65,122.1,0.6,45,857.7
65,121.4,0.6,45.6,859.2
65.1,120.6,0.6,44.9,849.8
65.3,120.5,0.6,45.5,849.6
65,121.3,0.6,45.1,853
65.2,122,0.6,44.4,860.5
65.6,122.2,0.6,45.3,850.7
66,121.8,0.6,46.4,858.6
65.9,120.9,0.6,47.1,857
65.8,120.3,0.6,46.5,854.1
65.7,120.5,0.6,46.3,854.9
65.6,121.3,0.6,45.7,852.9
65.3,121.9,0.6,46,857.4
65.2,122,0.6,45.7,853.9
65.2,121.3,0.6,45.6,864.2
65.4,120.5,0.6,45.7,847.9
65.3,120.3,0.6,45.9,853.9
65,121,0.6,45.3,847.2
64.8,121.8,0.6,45,852.1
64.8,122,0.6,44.7,854.3
64.8,121.7,0.6,45.3,849.2
64.7,120.8,0.6,45,850.3
64.7,120.2,0.6,44.8,853.1
64.6,120.4,0.6,44.7,850.4
64.4,121.3,0.6,44.5,858.3
64.2,121.9,0.6,44.4,856.6
64.1,122,0.6,44.1,846.7
64.2,121.3,0.6,44,856
64.4,120.4,0.6,44.4,862.5
64.3,120.2,0.6,44.4,852.1
64.1,120.9,0.6,44.1,855.1
64,121.7,0.6,43.6,846.4
63.9,122.1,0.6,43.7,857.7
63.9,121.7,0.6,43.8,858.7
64,120.9,0.6,43.8,859.3
64.2,120.2,0.6,44.3,856.2
64,120.4,0.6,44.2,860.8
63.8,121.1,0.6,43.9,855.6
63.4,121.9,0.6,43.7,851.2
63.1,122,0.6,43.1,852.5
62.9,121.4,0.6,42.9,852.9
62.7,120.5,0.6,42.2,852.2
62.7,120.3,0.6,41.7,857
62.9,120.8,0.6,41.8,858.5
62.8,121.6,0.6,41.9,848.6
62.8,122.1,0.6,42.2,863.8
62.7,122,0.6,42.1,855.9
63,121.2,0.6,42.1,852.9
63.2,120.5,0.6,42.6,857.2
63.2,120.5,0.6,42.6,854.9
63.1,121.4,0.6,42.7,855.5
62.8,122.2,0.6,42.4,845.2
62.6,122.5,0.6,41.8,859.7
62.7,122.1,0.6,41.8,854.4
63.2,121.2,0.6,42.1,853.4
63.3,120.8,0.6,43,853.5
63,121.1,0.6,42.8,853
62.5,121.9,0.6,42.6,852.5
61.9,122.3,0.6,41.9,852.3
61.3,122.1,0.6,41,846.5
61,121.3,0.6,40.2,852.2
60.7,120.7,0.6,39.9,853.2
60.3,120.8,0.6,39,854.8
60.2,121.6,0.6,37.9,861.1
60.4,122.3,0.6,38,860.4
60.6,122.4,0.6,38.6,867
61,121.8,0.6,38.9,861.8
61.5,120.9,0.6,39.9,860
61.4,120.5,0.6,40.6,858.2
61.1,121,0.6,39.8,853.9
61.2,121.8,0.6,39.1,853.3
61.5,122.3,0.6,39.8,857.6
61.6,122.1,0.6,40.5,859.9
61.7,121.3,0.6,40.4,857.2
62.1,120.6,0.6,41,858.5
62,120.7,0.6,41.4,853.6
61.7,121.5,0.6,40.8,853.1
61.4,122.2,0.6,40.1,858.5
61.5,122.3,0.6,40.2,856.7
61.7,121.7,0.6,40.4,857.5
61.8,120.8,0.6,41,859.8
61.9,120.5,0.6,40.7,856.4
61.8,121.1,0.6,41.1,858.1
61.5,121.9,0.6,40.8,861.5
61.2,122.3,0.6,40.2,856.5
61,122.1,0.6,40.1,861.4
60.6,121.2,0.6,39.7,860.5
60.5,120.7,0.6,38.6,862.1
60.9,120.9,0.6,38,858.2
61.4,121.7,0.6,38.4,869.9
62,122.3,0.6,39.4,855.1
62.8,122.3,0.6,40.8,859
63.2,121.8,0.6,42.4,859.3
63.3,120.9,0.6,42.7,857.3
63.3,120.6,0.6,42.7,861.8
63.3,121.3,0.6,42.5,853.8
63.2,122.1,0.6,42.4,858.6
63.2,122.6,0.6,42.7,862.4
63.1,122.5,0.6,43,851.5
63.1,121.7,0.6,42.9,855.5
63,120.8,0.6,42.8,856.8
63,120.5,0.6,42.6,851.5
62.8,120.8,0.6,42.4,854.1
62.7,121.8,0.6,41.9,854.2
62.6,122.7,0.6,42.4,858.4
62.2,122.9,0.6,42.2,850.7
61.8,122,0.6,42.1,853.7
61.3,121.1,0.6,42.1,858.7
60.4,120.7,0.6,41.6,850.4
59.3,121.3,0.6,41.3,858.6
58.9,122.3,0.6,40.7,1094.9
58.9,122.7,0.6,40.7,1088.2
59.2,122.2,0.6,41.1,1083.8
59.4,121.1,0.6,41.9,1090.2
59.5,120.6,0.6,41.7,1083.6
59.6,120.9,0.6,41.7,1083.5
59.6,121.9,0.6,41.5,1079.4
59.5,122.5,0.6,41.9,1075.3
59.4,122.2,0.6,41.8,1082.5
59.4,121.3,0.6,41.8,1082.4
59.6,120.7,0.6,41.9,1085.8
59.6,120.6,0.6,41.9,1083.2
59.4,121.5,0.6,41.4,1081.1
59.3,122.2,0.6,41.3,1087
59.4,122.4,0.6,41.5,1081.3
59.6,121.7,0.6,41.8,1087.3
59.6,120.8,0.6,41.8,1076.8
59.7,120.7,0.6,41.8,1086.5
59.6,121.4,0.6,41.7,1089.4
59.5,122,0.6,41.7,1083.8
59.4,122.2,0.6,41.9,1088.2
59.4,121.6,0.6,41.8,1090.6
59.4,120.8,0.6,41.8,1080.9
59.5,120.5,0.6,41.4,1084.5
59.6,121.1,0.6,41.5,1094.9
59.6,121.9,0.6,41.7,1075.4
59.6,122.3,0.6,42,1089.9
59.6,121.9,0.6,41.9,1081.9
59.6,121,0.6,42.1,1078
59.7,120.4,0.6,42,1093.6
59.6,120.7,0.6,41.7,1081.4
59.5,121.5,0.6,41.8,1089.4
59.2,122,0.6,41.6,1077.8
59.1,121.9,0.6,41.3,1077.6
59,121.2,0.6,41.3,1086.7
59.1,120.5,0.6,41,1078.8
59.4,120.6,0.6,41.1,1094.5
59.3,121.3,0.6,41,1078.7
59.4,122.2,0.6,40.2,1088.3
60,122.6,0.6,40.3,1093.9
61,122.4,0.6,40.8,1085.7
62.4,121.6,0.6,40.8,1091
63.6,120.8,0.7,40.9,993.8
63.7,120.5,0.8,40.9,934
63.7,121.2,0.8,40.5,924.9
63.9,122.3,0.8,40.4,929.8
63.8,122.7,0.8,41.3,934.6
63.6,122.2,0.8,41.1,926.3
63.7,121.2,0.8,41.1,922
63.9,120.6,0.8,41.3,938
64,121,0.8,41.1,926.6
63.8,122,0.8,41,926
63.5,122.7,0.8,40.9,935.2
63.1,122.5,0.8,40.6,934.3
63,121.4,0.8,40.1,933.6
63.2,120.7,0.8,40.4,921
63.1,120.7,0.8,40.3,937.5
62.9,121.6,0.8,39.7,922.4
62.5,122.6,0.8,39,936.5
62.3,122.9,0.8,38.7,930.8
62.4,122.3,0.8,38.7,926.2
62.7,121.4,0.8,39.1,939.6
62.9,121,0.8,39.4,929.4
63.1,121.4,0.8,39.5,927.7
62.9,122.4,0.8,39.7,929.9
62.4,123,0.8,39.3,926.9
61.9,122.6,0.8,39.2,930.1
61.5,121.6,0.8,38.7,926.8
61.1,120.8,0.8,37.8,924.2
61.2,120.9,0.8,36.7,939
61.2,121.8,0.8,37,931.6
61.2,122.7,0.8,36.9,937.1
61.1,122.8,0.8,37.3,932.2
60.9,122,0.8,37.5,934.4
60.7,121.1,0.8,37.2,932.1
60.6,120.6,0.8,36.2,928.5
60.7,121.2,0.8,36.1,935.7
60.6,122.3,0.8,35.9,933.4
60.6,122.9,0.8,35.8,929.6
60.6,122.6,0.8,36.4,926.1
60.6,121.5,0.8,36.5,931.7
60.8,120.8,0.8,36.5,924.5
60.9,120.9,0.8,36.4,929.1
61,121.8,0.8,36.4,931
60.9,122.7,0.8,36.4,927.8
60.9,122.8,0.8,36.6,928.7
60.8,121.9,0.8,36.9,934.7
60.8,121,0.8,36.3,927.2
61.1,120.7,0.8,36.3,930.8
61.4,121.3,0.8,36.6,932.4
61.8,122.4,0.8,37,931
62,122.9,0.8,37.7,929.6
62.3,122.4,0.8,38.7,937.8
62.4,121.4,0.8,39.3,924.9
62.4,120.7,0.8,39.5,931.2
62.2,120.8,0.8,38.9,924.9
61.9,121.7,0.8,38.5,921.9
61.5,122.7,0.8,37.9,932.7
61.2,122.8,0.8,37.5,932
61.3,122,0.8,37.2,925.1
61.7,121,0.8,37.6,934.4
62.1,120.6,0.8,37.9,927.9
62.4,121.2,0.8,38.6,927
62.1,122.3,0.8,39.1,931.9
61.4,122.7,0.8,38.7,929
