Hot Water System : Hot Water Supply Temperature Local (°F),AHU-01 VAV : Hot  Water Coil Flow Meter Local (gpm),AHU-01 VAV : Mixed Air Temperature Local (°F),AHU-01 VAV : Supply Fan Air Flow Local (cfm)
119.5,1.6,40.1,977.4
112.8,0.1,72.3,1343.1
121.3,0.3,76.6,674.2
120.1,1.1,60.0,1337.2
121.7,0.6,71.4,707.4
119.4,0.3,57.1,522.6
120.6,0.2,74.4,840.5
119.1,0.2,76.5,910.7
121.7,0.8,61.8,788.8
120.9,0.3,48.1,669.3
119.8,1.6,61.8,1157.8
119.3,0.4,78.2,1347.9
120.8,0.2,69.0,1086.2
121.8,0.1,70.3,1025.2
121.2,0.4,78.2,1169.0
119.1,0.2,75.4,908.7
119.8,0.8,65.5,626.0
119.2,0.2,62.7,844.8
119.7,0.6,68.4,655.7
121.7,0.6,72.2,1179.3
122.5,1.6,43.8,1001.8
121.8,0.3,73.5,1328.4
120.0,0.2,62.0,823.4
121.7,0.6,67.9,970.6
120.9,1.6,46.7,996.0
120.0,1.6,60.4,619.6
121.8,0.6,67.1,615.2
119.1,0.1,75.1,737.6
120.1,1.6,57.4,1356.7
121.3,0.6,65.7,657.2
119.7,0.8,63.7,870.2
119.9,1.6,57.3,1319.2
119.8,0.6,82.1,1354.8
121.7,0.8,62.3,1060.3
120.9,0.6,68.5,593.8
120.7,0.2,76.0,659.1
118.0,0.1,75.0,719.6
121.8,0.6,71.3,709.3
122.1,1.6,59.7,600.1
121.6,0.8,55.4,1120.8
119.9,1.6,58.0,534.8
122.0,1.1,55.5,621.6
119.3,0.2,75.3,914.1
120.9,0.2,75.1,1159.3
119.7,1.6,55.0,1160.3
119.7,0.2,75.4,907.2
120.9,0.4,57.3,535.8
120.2,1.6,60.2,1047.6
120.0,1.6,54.3,880.4
120.7,0.2,75.3,1191.0
119.9,0.4,57.6,528.5
119.7,0.2,62.1,839.0
120.1,0.8,66.0,1012.5
120.1,1.1,55.6,1134.4
122.5,1.6,46.8,984.8
120.5,0.4,77.7,1185.1
120.3,0.8,66.5,968.7
121.2,0.6,65.4,653.3
120.8,0.4,77.9,1196.8
119.5,0.4,57.6,536.7
120.8,0.8,62.0,811.7
120.7,0.4,67.3,969.6
121.0,0.8,56.9,1148.6
119.5,0.1,75.2,716.6
119.9,1.6,58.4,1264.1
118.0,0.1,72.2,994.5
119.7,0.4,59.5,894.1
122.6,1.6,53.4,909.7
118.8,0.2,62.4,816.1
122.8,1.6,59.5,1328.4
122.3,0.8,69.8,1360.6
119.6,1.6,43.7,954.0
122.2,1.6,59.3,1141.2
121.8,0.8,69.9,1360.1
121.1,0.6,67.3,908.2
118.8,0.2,62.2,799.0
119.7,0.8,62.2,1066.2
119.2,0.2,76.0,647.4
119.6,0.6,67.7,991.6
74.6,0.1,71.1,1333.3
122.5,1.6,60.1,599.1
119.3,0.2,75.0,1159.3
120.9,0.4,78.1,1177.8
121.3,0.6,65.9,615.7
121.3,0.6,80.5,1375.2
120.2,1.6,42.1,994.5
119.9,0.2,74.9,999.9
118.6,0.1,76.2,1084.7
119.6,0.6,70.0,1152.9
121.7,0.6,69.4,1147.1
116.8,0.1,73.1,1313.8
120.8,1.1,54.1,720.0
119.5,0.2,74.6,1177.3
120.6,0.2,74.6,1169.5
120.0,0.3,57.9,535.8
119.0,0.1,75.0,725.9
118.8,0.1,73.0,660.6
121.7,0.8,54.0,520.7
120.3,0.2,75.5,894.1
119.7,0.8,62.1,1193.9
121.1,0.4,57.9,538.2
118.0,0.1,74.1,713.2
122.6,1.6,41.5,985.2
120.4,0.2,76.0,665.0
119.9,0.2,75.1,1190.5
119.3,0.1,74.1,731.3
120.4,0.2,74.9,1149.5
121.6,0.6,71.1,672.8
121.7,0.8,54.1,537.7
119.0,0.1,73.1,667.4
122.6,1.6,40.8,980.9
120.0,0.3,79.3,1365.0
120.0,1.6,60.0,518.7
122.1,1.6,54.7,910.7
122.0,1.6,41.0,973.5
120.0,0.2,75.4,729.3
120.1,0.2,74.1,594.8
121.6,0.4,75.3,866.8
122.1,1.1,60.1,997.9
120.3,0.8,66.8,1001.3
119.1,0.4,78.3,1357.2
121.3,0.3,77.1,990.6
118.9,0.1,74.1,731.3
119.5,1.6,51.5,803.9
121.0,0.8,68.1,1263.6
119.6,0.6,69.8,1134.9
118.5,0.2,75.1,895.5
120.5,0.3,68.3,1055.9
121.0,0.8,61.9,1038.4
119.4,0.3,56.7,563.6
120.4,1.6,55.1,1169.0
119.3,0.1,74.2,735.2
120.1,0.6,67.3,983.8
120.7,0.2,75.2,749.3
120.9,0.3,61.5,543.6
120.1,0.4,59.7,878.5
119.0,0.3,78.5,1380.6
119.9,1.1,60.6,967.7
119.2,0.1,72.3,653.3
119.3,0.1,72.3,675.2
69.4,0.0,73.0,1357.2
120.2,0.6,69.5,1161.7
122.4,1.6,59.5,539.2
119.7,1.6,58.9,1276.8
120.9,1.6,58.9,1340.6
121.3,0.8,67.1,977.4
122.0,1.6,58.8,1366.5
119.3,0.2,75.5,1193.9
122.3,1.6,55.2,1131.0
120.1,1.6,50.8,1244.1
120.8,0.3,61.9,531.4
119.8,0.1,75.2,740.5
120.6,1.1,56.2,612.8
122.1,1.6,41.7,992.6
120.6,0.2,75.1,1119.8
120.9,0.4,78.3,1174.9
120.0,0.2,62.2,794.1
120.8,0.3,47.4,679.6
119.3,0.2,74.5,1188.5
122.4,1.1,61.6,1345.0
120.9,0.8,54.1,525.5
120.2,0.2,74.9,1175.9
120.0,1.6,44.0,957.9
120.4,1.6,56.2,633.8
120.3,1.1,53.8,538.7
121.0,0.8,61.8,1055.0
120.7,0.4,78.5,719.1
119.0,0.2,61.8,836.1
119.6,0.3,69.9,843.9
120.1,0.2,77.0,890.2
119.8,0.2,77.7,1375.7
119.7,0.6,69.9,1151.5
120.0,0.2,63.1,823.4
121.5,0.8,65.3,916.5
122.2,1.6,42.0,980.9
119.5,0.8,61.9,1091.5
118.1,0.1,73.4,656.7
120.0,0.8,65.3,1328.0
119.8,0.3,58.1,966.7
120.5,0.2,73.9,1188.5
120.8,0.3,47.8,682.5
121.7,0.4,75.5,822.4
122.6,1.6,44.1,955.0
119.9,0.6,80.9,1394.3
121.4,1.6,60.7,1168.1
120.8,1.6,57.9,1344.0
120.2,0.2,75.9,670.3
121.5,0.8,63.6,1359.2
121.3,0.2,76.2,1161.7
120.8,0.3,67.8,1069.6
118.0,0.1,72.9,999.9
119.9,1.6,60.1,528.5
119.4,0.1,75.1,720.0
119.8,1.6,57.7,881.9
119.1,0.2,74.6,1170.0
117.8,0.1,74.4,722.5
119.6,1.6,46.0,973.5
122.2,1.1,55.3,1141.7
120.2,1.6,53.1,882.9
119.9,0.3,48.7,706.4
119.4,0.1,74.8,731.7
120.9,0.4,82.6,1357.2
119.3,0.2,75.2,1177.3
122.6,1.6,54.9,645.0
120.4,0.4,81.5,1357.7
121.1,0.8,62.0,1063.2
119.9,0.6,65.9,639.6
119.8,1.6,41.6,999.9
120.2,0.2,77.3,1391.3
121.3,0.3,78.6,1381.6
118.1,0.1,71.8,633.3
118.7,0.1,60.3,614.7
119.8,0.8,55.7,712.7
120.0,0.2,61.9,819.5
121.2,0.3,76.8,1374.8
119.0,0.1,57.2,610.8
119.7,0.8,62.7,1068.6
121.8,0.8,65.7,868.2
121.7,1.1,55.3,1149.0
119.4,0.2,62.2,825.3
121.7,0.6,69.5,622.1
120.2,0.6,72.2,1138.8
119.9,1.1,61.0,1302.6
119.2,0.1,72.0,975.5
122.2,0.6,81.6,1358.2
119.0,0.2,75.3,1173.9
121.5,0.3,75.1,1373.3
121.6,0.6,64.2,624.0
120.7,0.2,73.0,659.1
119.6,0.6,65.8,639.6
119.4,0.2,77.2,1371.3
119.2,0.1,72.7,648.4
121.5,0.8,61.8,622.5
121.5,1.6,47.1,987.7
120.0,0.2,62.0,838.5
121.4,1.6,40.1,963.8
120.3,1.6,46.1,957.9
118.6,0.1,75.2,728.3
122.7,1.6,61.7,1149.5
118.2,0.1,73.2,658.6
120.5,0.3,74.2,1388.9
118.9,0.2,76.1,1347.5
119.6,0.8,54.3,541.6
120.2,0.2,76.0,649.4
122.5,1.6,54.3,912.1
121.4,0.8,55.2,670.3
120.9,0.3,68.2,1067.1
119.7,0.6,67.3,632.8
120.9,0.2,75.6,656.7
120.0,1.6,41.8,956.5
120.4,0.2,74.2,807.3
120.7,1.6,55.0,1172.4
120.8,0.2,76.0,657.2
120.2,0.2,77.6,1388.9
121.7,0.6,69.7,617.2
117.8,0.1,74.5,1305.0
122.5,1.6,54.9,983.8
119.6,1.6,45.0,969.2
119.7,0.6,69.3,599.6
118.3,0.1,75.0,753.2
120.4,1.6,57.7,909.7
119.9,0.2,62.7,834.1
118.7,0.1,74.1,548.9
120.2,1.1,60.6,1347.5
121.8,1.6,58.7,1183.2
119.0,0.2,61.8,783.9
120.4,0.2,74.5,1176.3
119.6,1.1,55.7,545.5
118.3,0.1,74.4,731.7
120.3,1.6,61.7,1182.2
121.7,0.4,75.3,824.9
119.2,0.2,75.6,1364.5
120.7,0.3,77.9,1372.3
119.7,0.8,54.2,527.5
121.5,1.6,45.9,947.7
121.4,0.8,64.6,1340.6
122.6,1.6,61.9,627.4
122.6,1.6,46.7,1028.6
121.8,0.6,70.1,1147.6
121.8,1.6,59.2,1170.0
119.0,0.2,74.7,1183.2
85.2,0.3,72.2,1425.5
119.3,0.1,72.8,1031.6
120.0,1.6,61.6,1154.4
120.5,0.8,62.1,1067.6
119.8,1.6,57.4,1307.5
121.2,0.3,71.1,871.7
119.4,0.2,74.7,739.5
120.4,0.2,75.4,665.0
121.3,0.8,62.0,1056.9
118.8,0.1,71.5,1016.4
119.5,0.2,61.9,821.4
119.0,0.1,73.3,665.9
120.0,0.6,65.4,648.9
122.2,1.1,55.4,1154.4
122.3,1.6,59.0,1275.3
121.3,0.4,79.2,728.8
121.6,0.8,64.1,1359.2
120.4,1.6,58.7,1314.3
121.3,0.3,79.1,1368.9
120.0,0.3,68.1,974.0
120.2,0.2,75.3,587.4
119.7,0.2,75.2,1167.6
118.2,0.1,75.2,762.0
119.5,1.6,41.8,955.5
120.0,0.2,67.8,1052.0
120.9,0.2,76.8,893.6
121.4,1.6,59.0,1335.3
120.5,0.2,75.5,671.3
117.8,0.1,73.2,638.6
119.2,0.1,75.1,702.5
121.0,0.6,68.5,626.9
119.6,1.6,47.2,956.5
120.4,1.6,54.0,924.3
120.6,0.4,80.1,702.0
120.5,0.3,75.6,1394.3
119.4,0.2,61.8,825.8
120.5,0.8,61.8,1069.1
121.2,1.1,54.6,690.8
120.0,0.4,79.1,1341.6
120.0,0.6,64.4,887.7
120.9,0.2,75.0,669.8
118.9,0.1,76.0,1110.0
120.7,0.2,66.7,216.0
122.3,1.1,60.2,889.7
119.9,0.3,76.9,1033.5
120.8,0.2,76.0,645.9
119.5,0.2,75.8,626.0
107.7,0.2,75.5,1373.8
120.0,0.3,77.4,1009.6
119.8,0.7,65.2,860.0
121.7,0.3,75.2,1390.4
120.4,0.6,68.8,615.2
118.5,0.1,72.2,984.3
120.0,1.6,58.9,552.3
121.9,0.8,63.7,1354.8
120.0,0.8,64.5,911.1
119.3,0.4,80.1,1351.8
119.3,0.4,81.8,1337.2
120.7,0.2,74.9,1198.8
121.7,0.8,70.2,1371.8
69.4,0.0,72.0,1370.4
118.1,0.1,75.1,733.7
121.1,1.6,59.2,1118.3
121.1,0.6,71.7,725.4
121.5,0.6,69.4,1150.5
120.1,0.2,62.5,775.1
121.1,0.6,64.3,652.3
120.9,0.2,76.0,647.9
119.5,0.3,60.0,534.8
120.1,0.2,62.2,836.1
121.9,1.6,57.7,1321.1
80.9,0.3,75.0,1381.6
120.6,1.6,58.8,1282.6
121.0,0.3,78.3,1373.3
118.9,0.2,77.5,1373.3
122.2,1.6,49.8,1263.6
121.7,0.8,62.4,1088.1
120.3,0.2,77.6,1077.9
119.8,0.2,63.4,832.7
119.8,1.6,54.0,834.6
121.0,1.1,62.7,1043.3
120.0,0.1,76.6,1068.1
120.0,1.6,57.2,1269.0
122.2,1.6,59.2,1187.1
121.5,0.6,67.7,977.9
119.9,0.2,74.2,816.1
120.1,0.2,74.9,1145.1
119.9,1.6,59.1,1253.9
120.8,1.6,39.7,1000.4
120.3,1.6,39.9,955.5
119.6,1.6,55.0,1131.0
121.8,0.6,67.1,641.1
119.3,0.2,77.4,1394.7
120.0,1.6,59.2,1320.6
119.6,0.8,61.7,1045.7
119.2,0.2,75.6,1352.8
117.4,0.1,73.2,1311.4
118.9,0.2,74.9,574.3
121.9,1.6,57.9,1167.1
120.5,0.2,74.3,827.8
121.3,0.6,71.4,740.5
121.9,0.8,63.8,1365.5
121.1,0.3,61.8,544.1
121.5,1.6,57.8,1351.8
120.5,1.6,44.4,991.6
120.6,1.1,53.1,527.5
80.9,0.3,74.9,1366.0
118.8,0.1,72.1,648.4
121.8,0.8,62.2,1075.9
118.5,0.2,77.5,1360.1
120.6,0.3,73.6,1184.6
120.4,0.1,71.1,996.0
122.2,1.6,42.0,977.9
121.4,0.4,67.3,642.5
120.6,1.6,59.5,512.9
119.2,0.2,74.3,832.7
120.5,0.6,62.5,874.6
119.2,0.2,74.9,994.0
121.9,0.8,62.4,797.6
120.7,0.2,75.1,1178.3
119.6,0.6,71.8,695.7
119.9,0.6,71.4,688.4
120.0,1.6,56.7,876.5
119.7,0.8,56.7,1123.7
119.6,0.8,61.9,1060.8
121.8,0.6,81.9,1365.5
119.8,0.6,82.0,1365.5
122.2,1.1,64.9,798.0
119.0,0.2,75.7,646.9
121.2,0.4,59.6,882.4
119.5,0.3,66.2,842.9
120.0,0.4,81.3,423.6
119.7,0.2,61.9,824.4
119.7,0.3,67.9,1076.9
121.5,0.6,79.9,1372.3
121.3,0.4,67.5,971.6
120.9,0.6,72.1,1202.2
121.2,0.4,60.2,880.4
120.3,1.6,59.6,535.8
122.0,1.6,55.2,900.4
121.0,0.8,61.8,1083.2
120.5,0.8,57.3,721.5
118.9,0.1,74.1,750.3
122.6,1.6,61.4,1171.0
121.5,0.8,62.3,1076.9
119.8,0.8,62.1,1067.6
120.2,0.3,69.9,830.2
118.0,0.1,75.1,740.5
120.9,0.2,76.8,894.6
69.5,0.0,73.3,1332.3
119.5,1.6,41.0,972.1
119.9,0.6,70.0,1152.5
120.0,1.6,47.0,972.6
122.6,1.6,41.5,997.4
120.5,0.4,79.1,729.8
120.1,0.2,62.7,832.7
121.0,0.6,67.7,970.1
120.0,0.2,75.8,623.0
119.2,0.2,76.0,657.2
121.8,0.8,65.5,895.5
119.1,0.1,75.2,722.0
120.2,0.2,73.7,1146.1
120.3,0.2,75.2,1175.9
122.7,1.6,61.1,1185.6
122.6,1.6,56.2,616.2
119.6,0.6,69.5,642.0
120.7,1.6,41.0,976.5
121.5,0.3,76.9,1385.0
120.6,0.2,76.0,629.4
119.3,0.1,74.6,1295.3
120.1,1.6,58.8,1152.9
119.6,0.8,62.0,1078.4
120.5,0.6,65.1,635.7
120.4,0.2,69.1,1104.7
119.2,0.4,60.6,905.3
119.7,0.8,62.4,1078.4
119.4,0.4,82.8,1343.6
119.5,0.4,82.9,1341.6
118.8,0.2,62.1,823.9
119.8,1.6,55.3,916.5
118.9,0.2,77.5,1330.9
121.5,0.3,79.4,1366.5
119.9,0.2,76.0,665.0
118.4,0.1,73.9,714.2
119.6,1.6,54.6,1139.8
122.0,0.8,63.6,1334.3
119.2,0.1,73.3,654.2
120.7,1.6,57.4,1338.7
121.6,0.0,83.0,1382.6
120.7,0.2,76.0,664.5
117.8,0.1,73.3,614.7
84.7,0.1,72.0,1350.9
121.4,0.6,65.0,911.1
121.6,0.8,54.1,530.9
118.9,0.1,71.5,653.3
119.8,0.8,54.1,530.9
119.0,0.1,72.0,1007.2
120.1,0.8,66.0,1354.8
119.0,0.2,74.1,1178.3
118.9,0.1,71.2,666.9
120.0,0.6,64.7,647.4
120.9,0.4,82.6,1338.2
120.1,1.5,54.1,933.1
119.1,0.2,62.2,833.6
120.1,0.2,63.5,834.6
120.2,0.6,62.8,880.4
119.3,0.2,76.0,681.0
120.0,0.2,77.6,1076.9
120.1,0.3,65.7,874.6
119.8,1.6,58.6,1329.4
122.2,1.6,41.0,955.0
121.7,1.6,55.1,988.7
120.9,0.2,75.5,990.1
120.5,0.6,81.7,1372.3
122.5,1.6,61.4,1188.0
121.8,1.6,58.7,619.6
120.7,0.2,67.2,1067.1
119.7,0.2,63.1,803.9
119.9,0.3,77.8,1401.1
119.8,0.6,70.2,1159.3
119.5,0.1,75.2,728.3
121.6,0.6,81.8,1367.9
121.6,0.4,82.5,1364.0
121.7,0.8,65.7,899.9
122.4,1.1,61.0,1356.2
120.6,0.8,65.0,1330.4
119.2,0.2,62.9,552.8
119.9,1.6,55.2,904.8
119.4,0.2,75.8,667.4
121.8,0.8,55.6,1143.2
122.1,0.3,61.5,1237.3
120.4,0.3,72.4,835.6
121.0,0.6,67.5,977.4
122.4,1.1,61.1,1331.4
119.4,0.4,82.5,1361.1
121.0,1.6,54.9,1140.3
69.4,0.0,71.8,1360.6
119.4,0.2,74.9,1176.3
118.2,0.1,73.3,650.3
120.1,0.2,76.3,899.9
122.1,0.8,53.2,550.9
122.2,1.1,52.8,540.6
74.1,0.1,70.9,1359.2
119.1,0.2,76.0,669.8
120.2,0.2,74.6,675.2
119.9,0.2,74.7,1183.7
121.9,0.8,63.7,1354.8
118.5,0.1,73.3,650.8
122.7,1.6,56.9,1344.0
121.4,0.8,61.6,1089.6
121.1,1.6,60.3,518.2
118.2,0.1,73.3,648.9
120.8,0.2,75.3,1190.5
69.4,0.0,72.6,1397.2
123.0,1.6,60.3,1161.7
121.3,1.1,60.0,966.2
119.4,0.2,62.9,530.9
119.9,0.3,73.7,1164.2
117.9,0.1,74.1,735.6
120.0,1.6,55.1,1143.7
120.8,0.2,75.8,651.3
120.9,0.2,75.9,637.2
120.3,0.8,61.8,1084.7
120.9,0.4,76.6,653.7
120.6,0.6,67.5,646.4
120.2,0.3,78.8,1338.7
121.6,0.1,61.2,1031.6
120.4,0.6,71.4,699.1
118.9,0.2,73.7,1177.8
121.1,0.8,64.6,901.9
119.1,0.2,74.3,835.6
119.6,0.2,75.4,578.7
120.0,0.2,73.7,827.8
120.5,0.6,69.9,1165.6
119.9,0.2,75.2,664.5
121.5,0.8,61.6,1065.7
119.7,0.6,67.4,620.6
120.4,0.2,74.4,583.5
71.2,0.3,73.1,1411.8
121.2,1.6,40.9,975.5
121.0,1.1,61.8,1348.9
121.3,0.6,65.6,630.3
120.2,0.2,74.3,669.3
120.3,1.1,55.1,1123.7
122.4,1.6,55.1,1171.5
118.5,0.1,73.3,653.7
120.5,0.2,61.2,898.5
122.3,1.6,57.9,1349.4
120.7,0.6,67.9,967.7
122.1,1.6,60.3,1156.4
119.6,1.1,53.3,503.6
121.8,0.8,61.8,1062.8
119.2,0.2,77.1,903.8
121.2,0.6,67.5,964.8
120.4,1.6,57.3,1330.9
119.3,0.3,78.5,1381.1
120.6,0.2,63.2,541.6
119.7,0.6,67.3,628.4
119.6,1.6,50.5,1262.6
119.2,0.1,73.2,630.8
122.7,1.6,58.8,553.3
121.1,0.8,61.6,619.6
121.3,0.8,61.6,1051.1
120.1,0.2,75.1,1182.7
122.2,0.8,70.2,1342.1
120.8,1.1,56.1,609.4
119.5,0.8,61.4,619.6
120.6,1.6,57.2,1350.4
119.6,0.2,75.0,1191.5
121.5,1.6,60.5,1168.5
119.7,0.2,62.4,832.2
119.7,1.6,40.2,977.4
119.9,0.2,75.8,663.5
120.5,0.2,76.0,680.1
120.9,0.3,77.3,1412.3
121.4,0.8,54.2,543.6
119.0,0.2,76.0,644.5
119.4,0.1,75.0,744.9
120.2,0.2,75.3,1175.4
119.2,0.2,72.7,1116.9
118.0,0.1,71.9,635.7
121.8,0.8,69.8,1327.5
120.8,0.2,75.8,676.7
120.9,0.3,56.3,514.3
122.5,1.6,60.4,532.8
119.8,0.8,69.0,1238.7
