Discharge Temp(F),Water Temp(F),Water Flow Rate(gpm),Intake Air Temp(F),Air Flow(cfm)
73.6,120,0.3,65.7,860.9
73.4,120.5,0.3,65.6,843.9
73.3,120.9,0.3,65.5,853.1
73.3,121.2,0.3,65.3,869.2
73.3,121.3,0.3,65.3,867.3
73.4,121.2,0.3,65.2,876
73.4,121,0.3,65.5,872.1
73.5,120.4,0.3,65.5,852.6
73.5,119.9,0.3,65.6,902.9
73.5,119.5,0.3,65.4,877
73.7,120.1,0.3,65.7,874.6
73.7,120.1,0.3,65.7,898
73.7,120.6,0.3,65.9,890.7
73.6,121,0.3,65.6,884.8
73.5,121.2,0.3,65.5,884.3
73.5,121.3,0.3,65.5,847.3
73.6,121.2,0.3,65.6,862.4
73.6,120.8,0.3,65.7,899
73.7,120.2,0.3,65.7,871.7
73.8,119.7,0.3,65.8,870.7
74,119.5,0.3,66,918.9
74,119.9,0.3,66.2,873.1
73.9,120.3,0.3,66.1,862.4
73.9,120.8,0.3,66,898
74,121.1,0.3,66.1,875.6
73.9,121.3,0.3,66.3,883.8
73.9,121.3,0.3,66.3,918.5
73.8,121,0.3,66.2,872.1
73.8,120.5,0.3,66.1,864.8
73.8,119.9,0.3,66.1,871.2
73.8,119.5,0.3,66,866.3
73.9,119.6,0.3,66,869.7
73.9,120,0.3,66.1,867.8
73.9,120.5,0.3,66.1,884.8
73.9,120.9,0.3,66,877
73.9,121.2,0.3,66,873.6
73.9,121.3,0.3,66,886.8
73.9,121.2,0.3,66.2,869.7
73.9,120.8,0.3,66.2,879.5
73.9,120.2,0.3,66.2,877.5
74,119.5,0.3,66.2,842.9
74,119.5,0.3,66.1,842.9
74.2,119.8,0.3,66,858
74.3,120.2,0.3,66.2,882.4
74.4,120.7,0.3,66.5,872.6
74.4,121,0.3,66.6,868.2
74.3,121.3,0.3,66.6,874.6
74.4,121.3,0.3,66.5,868.2
74.4,121.2,0.3,66.6,905.3
74.6,120.7,0.3,66.7,843.4
74.8,120.1,0.3,66.7,881.4
75.1,119.6,0.3,66.9,858
75.4,119.4,0.3,67.2,897
75.7,119.6,0.3,67.5,865.3
76.2,120,0.3,67.7,854.1
77.3,120.7,0.3,68.6,879.5
77.4,120.7,0.3,68.7,879.5
78.4,121,0.3,69.5,864.3
79.6,121.2,0.3,71.1,871.7
80.8,121.2,0.3,74,886.8
81.2,121,0.3,77.1,977.9
81.3,120.7,0.2,78,1368.9
81.4,120.3,0.2,77.8,1372.8
81.7,119.7,0.2,77.7,1269
82,119.3,0.2,77.6,1025.7
82,119.2,0.2,77.6,905.8
82,119.4,0.2,77.5,897.5
82,119.7,0.2,77.5,878
82,120,0.2,77.5,907.2
81.9,120.4,0.2,77.4,894.1
81.9,120.9,0.2,77.3,930.2
81.9,120.9,0.2,77.3,930.2
81.8,121,0.2,77.3,916
81.8,121.1,0.2,77.3,907.7
81.7,121.1,0.2,77.3,924.3
81.6,120.9,0.2,77.2,923.8
81.7,120.5,0.2,77.2,889.2
81.7,120.1,0.2,77.2,908.2
81.7,119.6,0.2,77.2,920.9
81.7,119.2,0.2,77.1,903.8
81.6,119.2,0.2,77.1,901.9
81.6,119.4,0.2,77.1,912.6
81.6,119.7,0.2,77,902.4
81.6,120.1,0.2,77,890.2
81.5,120.4,0.2,76.9,947.7
81.4,120.9,0.2,76.8,894.6
81.3,120.9,0.2,76.8,926.3
81.3,121,0.2,76.8,909.7
81.2,121,0.2,76.8,911.1
81.2,120.9,0.2,76.8,893.6
81.1,120.7,0.2,76.7,928.2
81.1,120.3,0.2,76.6,898
81.2,119.8,0.2,76.6,916
81.1,119.4,0.2,76.5,920.4
81.1,119.1,0.2,76.5,910.7
81,119.2,0.2,76.5,896
81,119.5,0.2,76.4,906.8
80.9,119.8,0.2,76.4,901.4
80.8,120.1,0.2,76.3,899.9
80.7,120.3,0.2,76.3,919.9
80.4,120.6,0.2,76.2,917
---,120.6,0.2,76.2,907.2
80.2,120.6,0.2,76.1,894.6
79.9,120.5,0.2,76.1,916
79.5,120.1,0.2,76.1,915.5
79.1,119.8,0.2,76,904.3
79,119.4,0.2,76,925.3
79,119.1,0.2,76,896.5
79,118.8,0.2,76,918
78.9,118.7,0.2,75.9,908.2
79,118.7,0.2,75.9,913.1
78.9,118.9,0.2,75.9,850.2
78.9,119.1,0.2,75.9,911.1
78.9,119.3,0.2,75.8,908.2
78.9,119.6,0.2,75.8,893.1
78.8,119.9,0.2,75.8,909.7
78.8,120,---,---,---
78.7,120.1,0.2,75.8,880.9
78.7,120.2,0.2,75.8,909.2
78.7,120.3,0.2,75.7,902.9
78.7,120.4,0.2,75.7,901.4
78.7,120.3,0.2,75.7,895.1
78.7,120.3,0.2,75.7,903.8
78.6,120.1,0.2,75.6,893.1
78.6,119.9,0.2,75.6,899.4
78.7,119.6,0.2,75.6,900.4
78.6,119.2,0.2,75.7,923.8
78.7,118.9,0.2,75.7,928.2
78.7,118.7,0.2,75.6,906.3
78.6,118.6,0.2,75.6,931.6
78.6,118.8,0.2,75.5,909.2
78.6,118.9,0.2,75.5,909.2
78.6,119.1,0.2,75.5,892.1
78.6,119.3,0.2,75.5,917.5
78.5,119.6,0.2,75.5,896.5
78.5,119.8,0.2,75.5,880.4
78.5,119.9,0.2,75.5,902.9
78.5,120.1,0.2,75.5,899
78.5,120.2,0.2,75.4,891.6
78.4,120.3,0.2,75.4,910.2
78.4,120.3,0.2,75.5,902.9
78.4,120.3,0.2,75.5,894.1
78.4,120.2,0.2,75.4,904.3
78.4,120,0.2,75.4,913.1
78.4,119.7,0.2,75.4,907.2
78.4,119.1,0.2,75.4,908.7
78.4,119.1,0.2,75.4,900.9
78.4,118.8,0.2,75.4,917
78.4,118.6,0.2,75.4,888.7
